Label (Grouping),Aggregate travel time to work (in minutes):
Albany,2607340.00
Bronx,19886440.00
Broome,1521170.00
Cattaraugus,646315.00
Cayuga,643885.00
Chautauqua,868640.00
Chemung,570335.00
Clinton,667375.00
Dutchess,3583855.00
Erie,7756795.00
Jefferson,965490.00
Kings,34302005.00
Madison,620015.00
Monroe,5890565.00
Nassau,18162735.00
New York,15965180.00
Niagara,1884465.00
Oneida,1688615.00
Onondaga,3739180.00
Ontario,1051520.00
Orange,4913345.00
Oswego,1112720.00
Putnam,1465310.00
Queens,34300920.00
Rensselaer,1323475.00
Richmond,7191665.00
Rockland,3521800.00
St. Lawrence,801850.00
Saratoga,2393250.00
Schenectady,1369510.00
Steuben,768545.00
Suffolk,19340190.00
Sullivan,717755.00
Tompkins,857325.00
Ulster,2067920.00
Warren,610800.00
Wayne,927965.00
Westchester,11059240.00
